Оригинал	Утверждено	Фаргус	Изменено	Примечание	Пример файла
Minister Adelain	(н/у)	Министр Аделайн	не утв.	гуманоид, анимация=мужчина-клерик	fumin.CRE
Minister Lloyd	(н/у)	Советник Ллойд	не утв.	гуманоид, анимация=толстяк	uhmay01.CRE
Minister Lloyd Wainwright	Староста Ллойд Уэйнрайт	(-)	да	(-)	(-)
Minotaur	(н/у)	Минотавр	не утв.	монстр, анимация=IC_MINOTAUR - 57456	amminot.CRE
Minsc	Минск	Минск	нет	NPC, человек, следопыт	bpminsc.CRE
Mira	(н/у)	Мира	не утв.	гуманоид, анимация=толстушка	shop01.CRE
Miranda	(н/у)	Миранда	не утв.	гуманоид, анимация=крестьянка	clmom.CRE
Mirianne	(н/у)	Мириэнн	не утв.	гуманоид, анимация=эльфийка-клерик	mirian.CRE
Mirnielle Santele	(н/у)	Мирниеэль Сантель	не утв.	гуманоид, анимация=дворянка	sarcnt01.CRE
Mirror Fiend	(н/у)	Зеркальный Демон	не утв.	гуманоид, анимация=огриллион	duplica1.CRE
Missy	(н/у)	Мисси	не утв.	гуманоид, анимация=эльфийка-вор	arngrl01.CRE
Mist Horror	(н/у)	Туман Ужаса	не утв.	Нежить, анимация=MIST_CREATURE - 32565	mistho01.CRE
Mist Mephit	(н/у)	Туманный мефит	не утв.	гуманоид, анимация=имп	ar18fam.CRE
Mistress Ada	(н/у)	Любовница Ада	не утв.	гуманоид, анимация=женщина-клерик	talmiss.CRE
Mistress Eina	(н/у)	Госпожа Эйна	не утв.	гуманоид, анимация=толстушка	uhfem01.CRE
Mistress Jeanne	(н/у)	Госпожа Янна	не утв.	гуманоид, анимация=дворянка	trple02.CRE
Mistress Mera	(н/у)	Миссис Мера	не утв.	гуманоид, анимация=дворянка	trnobf01.CRE
Mithykyl	(н/у)	Митикил	не утв.	монстр, анимация=ловец разума	senill01.CRE
Mitsu	(н/у)	Митсу	не утв.	гуманоид, анимация=женщина-полурослик-вор	arnman04.CRE
Modron	(н/у)	Модрон	не утв.	монстр, анимация=железный голем	obsmod01.CRE
Mogadish	(н/у)	Могадиш	не утв.	гуманоид, анимация=CLERIC_MALE_HALFLING_LOW - 2483	obshal07.CRE
Moira	(н/у)	Мойра	не утв.	гуманоид, анимация=женщина-боец	loveone4.CRE
Molkar	(н/у)	Молкар	не утв.	гуманоид, анимация=мужчина-боец	molkar.CRE
Monadic Deva	Монадический Дэв	Монадическая Дева	да	монстр, анимация=солар	devmon01.CRE
Moneylender	(н/у)	Ростовщик	не утв.	гуманоид, анимация=толстяк	kplend01.CRE
Monk	(н/у)	Монах	не утв.	гуманоид, анимация=мужчина-монах	ammgrd01.CRE
Montaron	Монтарон	Монтарон	нет	NPC из БГ1, воин-вор	montar.CRE
Monty	Монти (н/у)	(-)	не утв.	см. Монтарон	(-)
Mook	(н/у)	Мук	не утв.	гуманоид, анимация=эльфийка-вор	mook.CRE
Moorlock	(н/у)	Мурлок	не утв.	гуманоид, анимация=мужчина-боец	moorlock.CRE
Moose	(н/у)	Лось	не утв.	животное, анимация=лось	moose.CRE
Mordaine	(н/у)	Мордэйн	не утв.	гуманоид, анимация=эльфийка-маг	mordai.CRE
Mordenkainen	Морденкайнен	(-)	да	(-)	(-)
Moreno	(н/у)	Морено	не утв.	гуманоид, анимация=мужчина-боец	plfarm06.CRE
Morinden of the Wicked Heart	Моринден Злосердечный (н/у)	(-)	не утв.	обладатель Ремня клинков	(-)
Morning Knight	(н/у)	Утренний рыцарь	не утв.	гуманоид, анимация=мужчина-боец	c6kngt1.CRE
Morninglord	Властелин Утра	(-)	да	Латандер	(-)
Morsa	(н/у)	Морса	не утв.	гуманоид, анимация=THIEF_FEMALE_HALFLING_LOW - 21267	shth04.CRE
Morul	(н/у)	Морул	не утв.	гуманоид, анимация=мужчина-маг	mgappr02.CRE
Morvin	(н/у)	Морвин	не утв.	гуманоид, анимация=мужчина-дварф-боец	morvin.CRE
Mountain Bear	(н/у)	Горный Медведь	не утв.	животное, анимация=белый медведь	bearpo.CRE
Mountain Lion	(н/у)	Горный Лев	не утв.	животное, анимация=GREATCAT_LEOPARD - 32523	catlim01.CRE
Mourner	(н/у)	Плакальщик	не утв.	гуманоид, анимация=крестьянка	mourner2.CRE
Mr. Colquetle	(н/у)	Мистер Колкваетл	не утв.	гуманоид, анимация=крестьянин	mtbe11.CRE
Mr. Garbage Can	Мистер Помойкин	(-)	да	(-)	(-)
Mr. Shade	(н/у)	Мистер Шэйд	не утв.	гуманоид, анимация=мужчина-вор	mrshade.CRE
Mrs. Cragmoon	(н/у)	Мисс Крэгмун	не утв.	гуманоид, анимация=женщина-маг	cragmoon.CRE
Mrs. Harrold	(н/у)	Миссис Гарольд	не утв.	гуманоид, анимация=STATIC_PEASANT_WOMAN - 46352	tour2.CRE
Mugger	(н/у)	Шут	не утв.	гуманоид, анимация=эльф-вор	bmugg1.CRE
Mulahey	Мулахей	Мулахей	нет	гуманоид, анимация=мужчина-клерик	mulahe.CRE
Mummy	(н/у)	Мумия	не утв.	Нежить, анимация=IC_MUMMY - 57472	fsmumm.CRE
Murderer	(н/у)	Убийца	не утв.	гуманоид, анимация=мужчина-вор	ppmur.CRE
Murtlen	(н/у)	Мартлен	не утв.	гуманоид, анимация=крестьянин	murtlen.CRE
Mustard Jelly	(н/у)	Горчичная Амеба	не утв.	монстр, анимация=SLIME_MUSTARD - 3978	jellmu.CRE
Mutamin	(н/у)	Мутамин	не утв.	гуманоид, анимация=мужчина-дварф-маг	mutami.CRE
Mutated Crawler	(н/у)	Гусеница-мутант	не утв.	монстр, анимация=трупная гусеница	carriosu.CRE
Mutated Gibberling	(н/у)	Мутировавший гибберлинг	не утв.	гуманоид, анимация=гибберлинг	gibmut01.CRE
Mutated Spider	(н/у)	Паук-Мутант	не утв.	монстр, анимация=SPIDER_SMALL - 32559	sensmsp.CRE
Myconid	(н/у)	Миконид	не утв.	монстр, анимация=IC_MYCONID - 5888	icmyc01.CRE
Myconid King	(н/у)	Король Миконидов	не утв.	монстр, анимация=IC_MYCONID2 - 58896	icmyc02.CRE
Myrkul	Миркул	(-)	да	Бог	(-)
Mystra	Мистра	Мистра	нет	Богиня, Повелительница Магии	(-)
N'ashtar	(н/у)	Н'аштар	не утв.	гуманоид, анимация=мужчина-маг	gpmage1.CRE
Naaman	(н/у)	Нааман	не утв.	гуманоид, анимация=мужчина-вор	naaman.CRE
Nabassu	Набассу	Набассуу	да	демон	demnab01.CRE
Nadarin	(н/у)	Надарин	не утв.	гуманоид, анимация=мужчина-дварф-вор	nadari.CRE
Nader	(н/у)	Надер	не утв.	гуманоид, анимация=мужчина-полурослик-вор	nader.CRE
Nadinal	(н/у)	Надинал	не утв.	гуманоид, анимация=мужчина-маг	jaga3.CRE
Nadine	(н/у)	Надин	не утв.	гуманоид, анимация=THIEF_FEMALE_HALFLING_LOW - 21267	nadine.CRE
Nalia	(н/у)	Налия	не утв.	гуманоид, анимация=женщина-вор	naldead.CRE
Nalia de Bouche	Налия де Буш	(-)	да	фольклорист из рассказа Яна	(-)
Nalia de'Arnise	Налия Де'Арнис	Налия де'Арнис	нет	NPC, человек, маг-вор	(-)
Nalin	(н/у)	Налин	не утв.	гуманоид, анимация=мужчина-клерик	nalin.CRE
Naljier Skal	(н/у)	Нальиер Скал	не утв.	гуманоид, анимация=мужчина-вор	ppnalj.CRE
Nalmissra	(н/у)	Нальмиссра	не утв.	монстр, анимация=SIRINE - 8192	gorwom01.CRE
Namara	Намара (н/у)	(-)	не утв.	(-)	(-)
Nanny	(н/у)	Нанни	не утв.	гуманоид, анимация=крестьянка	cenanny.CRE
Nanoc the Barbarian	(н/у)	Нанок Варвар	не утв.	гуманоид, анимация=мужчина-боец	bazpat02.CRE
Nantrin Bellowglyn	(н/у)	Нантрин Белловглин	не утв.	гуманоид, анимация=мужчина-боец	nantri.CRE
Nara	(н/у)	Нара	не утв.	гуманоид, анимация=женщина-маг	mgappr03.CRE
Narcillicus Harwilliger Neen	(н/у)	Нарцилликус Харвиллигер Нин	не утв.	гуманоид, анимация=эльф-маг	narcil.CRE
Narlen Darkwalk	(н/у)	Нарлен Даркволк	не утв.	гуманоид, анимация=мужчина-вор	narlen.CRE
Nasha	(н/у)	Наша	не утв.	гуманоид, (надо посмотреть в БГ1)	NASHA.CRE
Natas	(н/у)	Натас	не утв.	гуманоид, анимация=женщина-вор	c6natas.CRE
Natasha	(н/у)	Наташа	не утв.	гуманоид, анимация=женщина-маг	natash.CRE
Neb	Неб	Неб	нет	гуманоид, анимация=THIEF_MALE_DWARF_LOW - 2125	bgneb.CRE
Necre	(н/у)	Некре	не утв.	гуманоид, анимация=мужчина-полурослик-клерик	obshal03.CRE
Neeber	(н/у)	Нибер	не утв.	гуманоид, анимация=крестьянин	neeber.CRE
Neira	(н/у)	Нейра	не утв.	гуманоид, анимация=женщина-клерик	neira.CRE
Neler	(н/у)	Нилир	не утв.	гуманоид, анимация=мужчина-боец	uhkid03.CRE
Nelik	(н/у)	Нелик	не утв.	гуманоид, анимация=мужчина-полурослик-вор	nelik.CRE
Nelleck	(н/у)	Неллек	не утв.	гуманоид, анимация=мужчина-боец	uhman02.CRE
Nelorin	(н/у)	Нелорин	не утв.	гуманоид, (надо посмотреть в БГ1)	NELORI.CRE
Nemphre	(н/у)	Немфр	не утв.	гуманоид, анимация=женщина-маг	nemphr.CRE
Nerit	(н/у)	Нерит	не утв.	гуманоид, анимация=мужчина-боец	c6nerit.CRE
Nessie	(н/у)	Несси	не утв.	гуманоид, анимация=крестьянка	nessie.CRE
Nester	Нестер	(-)	да	(-)	(-)
Nestor	(н/у)	Нестор	не утв.	гуманоид, анимация=эльф-боец	nestor.CRE
Nevaziah	(н/у)	Невазия	не утв.	Нежить, анимация=лич	nevaziah.CRE
Neville	(н/у)	Невил	не утв.	гуманоид, анимация=мужчина-боец	nevill.CRE
Nevin	(н/у)	Невин	не утв.	гуманоид, анимация=крестьянин	mourner1.CRE
Nexlit the Xvart	(н/у)	Ксварт Некслит	не утв.	гуманоид, анимация=KOBOLD_XVART - 31744	nexlit.CRE
Niemain	(н/у)	Нимейн	не утв.	гуманоид, анимация=мужчина-маг	niemai.CRE
Niklos	(н/у)	Никлос	не утв.	гуманоид, анимация=мужчина-вор	niklos.CRE
Nikolai	(н/у)	Николай	не утв.	гуманоид, анимация=крестьянин	nikola.CRE
Nila	(н/у)	Нила	не утв.	гуманоид, анимация=женщина-вор	nila.CRE
Nilthiri	(н/у)	Нильсири	не утв.	монстр, анимация=троль	drshnl01.CRE
Nim Furlwing	(н/у)	Ним Фэлвинг	не утв.	гуманоид, (надо посмотреть в БГ1)	NIMFUR.CRE
Nimbul	Нимбул	Нимбул	нет	гуманоид, анимация=мужчина-вор	nimbul.CRE
Nishruu	(н/у)	Нишруу	не утв.	монстр, анимация=MIST_CREATURE - 32565	nishrusu.CRE
Nivek	(н/у)	Нивек	не утв.	гуманоид, анимация=крестьянин	nivek.CRE
Nizidramanii'yt	(н/у)	Низидраманиийт	не утв.	животное, анимация=черный дракон	dragblac.CRE
No such index	(н/у)	Astral Phase Spider	не утв.	монстр, анимация=SPIDER_PHASE - 31234	spidphas.CRE
No such index	(н/у)	Байярд	не утв.	гуманоид, анимация=эльф-вор	bayard.CRE
No such index	(н/у)	Фермер	не утв.	гуманоид, анимация=крестьянин	farm.CRE
No such index	(н/у)	No such index	не утв.	предметы (general item), анимация=железный голем	bugabo02.CRE
Noble Djinni	(н/у)	Благородный Джинн	не утв.	гуманоид-гигант, анимация=DJINNI - 32517	gendjn01.CRE
Noble Efreeti	(н/у)	Благородный Ифрит	не утв.	гуманоид-гигант, анимация=DJINNI_LEGS - 32518	genefn01.CRE
Nobleman	(н/у)	Дворянин	не утв.	гуманоид, анимация=дворянин	amcust02.CRE
Noblewoman	(н/у)	Дворянка	не утв.	гуманоид, анимация=дворянка	delnob02.CRE
Noober	(н/у)	Ну Бер	не утв.	гуманоид, анимация=крестьянин	noober.CRE
Noralee	(н/у)	Норали	не утв.	гуманоид, анимация=эльфийка-боец	norale.CRE
Nortuary	(н/у)	Нортуарий	не утв.	гуманоид, анимация=мужчина-вор	nortua.CRE
